Job Title,Company Name,Study Level,Experience Level,Contract Type,Region,Skills,Posting Date,Job Link,Disponibilité,Langues,Salary,Mobility
Accountant,"Coleman, Owens and Williamson",Bac+3,Entre 1 et 2 ans,Alternance,Nabeul,"SQL, Project Management, Communication, Java, Leadership",2025-01-12,https://fakejobsite.com/job/225,In 3 months,French,1725,On-site
Teacher,Nguyen-Robertson,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Alternance,DAKAR,"Data Analysis, Machine Learning",2025-03-08,https://fakejobsite.com/job/226,In 1 month,Arabic,1478,Hybrid
Marketing Manager,Reynolds-Rose,Autres,Entre 5 et 10 ans,Alternance,Gabes,"Java, SQL, Project Management, Python",2025-08-24,https://fakejobsite.com/job/227,In 1 month,"English, Arabic",1109,Remote
Data Scientist,Meyer-Jensen,Bac+3,Expérience entre 2 ans et 5 ans et plus,Alternance,Gafsa,"Python, Communication, Java, Project Management, SQL",2025-11-04,https://fakejobsite.com/job/228,Immediate,"Arabic, English",1134,On-site
Nurse,Brown-Franklin,Formations professionnelles,"Etudiant, jeune diplômé",SIVP,Gafsa,"Leadership, SQL",2024-08-31,https://fakejobsite.com/job/229,Immediate,"English, French, Arabic",1149,On-site
Project Manager,Mcfarland and Sons,Bac+4,Expérience entre 5 ans et 10 ans,CDI,Sousse,"Communication, Machine Learning, Leadership, Project Management",2025-02-27,https://fakejobsite.com/job/230,In 3 months,"Arabic, English, French",2028,On-site
Accountant,"Wilcox, Patterson and Fernandez",Bac+5,"Etudiant, jeune diplômé",Intérim,Monastir,"Communication, SQL",2026-05-31,https://fakejobsite.com/job/231,Immediate,"Arabic, English, French",769,Hybrid
Accountant,Hernandez LLC,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI,Nabeul,"Communication, Leadership, SQL, Project Management, Python",2024-12-16,https://fakejobsite.com/job/232,Immediate,"Arabic, French",1790,On-site
Data Scientist,Snyder-Klein,Bac+4,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Statutaire,Tunis,"Project Management, Communication",2024-10-25,https://fakejobsite.com/job/233,In 3 months,English,1191,On-site
Project Manager,Bennett-Hickman,Bac+3,Débutant < 2 ans et plus,Indépendant-Freelance,Tataouine,"Project Management, Communication, Python, Leadership",2026-04-17,https://fakejobsite.com/job/234,In 1 month,"English, Arabic",1088,Remote
Teacher,Payne-Morgan,Bac+2,Débutant < 2 ans,Unspecified,Gafsa,"Java, Project Management",2024-10-18,https://fakejobsite.com/job/235,In 3 months,"French, English",886,Remote
Project Manager,Hale-Turner,Bac+5,Aucune expérience,Unspecified,Ben Arous,"Machine Learning, Python, SQL",2024-07-04,https://fakejobsite.com/job/236,Immediate,French,1663,On-site
Teacher,Wilson-Welch,Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage-PFE,DAKAR,"Python, Data Analysis, SQL, Communication",2025-08-18,https://fakejobsite.com/job/237,In 3 months,"French, English, Arabic",1185,On-site
Project Manager,"Smith, Perez and Diaz",Bac,"Etudiant, jeune diplômé",CDD,Gafsa,"Data Analysis, Java, Machine Learning, Project Management, SQL",2024-08-25,https://fakejobsite.com/job/238,In 1 month,"Arabic, French",1571,Remote
Project Manager,"Coleman, Williams and Austin",Bac+4,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Intérim,Monastir,"Data Analysis, Python, Machine Learning",2026-03-21,https://fakejobsite.com/job/239,In 3 months,"English, Arabic, French",1321,Hybrid
Software Engineer,Powell-Griffin,Bac+2,"Etudiant, jeune diplômé et plus",Unspecified,Siliana,"Project Management, Leadership, Machine Learning, Java, Communication",2024-09-14,https://fakejobsite.com/job/240,Immediate,English,859,Hybrid
Accountant,"Bush, Tucker and Vargas",Autres,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Intérim,Zaghouan,"Machine Learning, Project Management, Data Analysis, Python, SQL",2026-02-09,https://fakejobsite.com/job/241,Immediate,"Arabic, French",1133,Hybrid
Project Manager,Price Group,Autres,Entre 1 et 2 ans,Statutaire,Nabeul,"Data Analysis, Python, Project Management, Leadership",2025-08-29,https://fakejobsite.com/job/242,In 3 months,Arabic,1070,Hybrid
Data Scientist,"Lopez, Vega and Moore",Formations professionnelles,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,CDI,Médenine,"SQL, Communication, Data Analysis, Project Management",2025-01-05,https://fakejobsite.com/job/243,In 1 month,"French, English",828,Hybrid
Project Manager,"Taylor, Frey and Brown",Bac+3,Entre 1 et 2 ans,Intérim,Ariana,"Project Management, Leadership, SQL, Python",2025-09-21,https://fakejobsite.com/job/244,In 3 months,"English, Arabic, French",1308,Hybrid
Nurse,Wilson Ltd,Bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Stage,Siliana,"SQL, Machine Learning, Data Analysis",2026-05-03,https://fakejobsite.com/job/245,In 1 month,Arabic,1160,Hybrid
Accountant,"Hanna, Gomez and Diaz",Autres,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Stage,Tunis,"Machine Learning, Python, Communication, Project Management",2024-02-10,https://fakejobsite.com/job/246,In 1 month,"Arabic, English, French",1486,Hybrid
Nurse,"West, Castro and Hunt",Bac+3,Expérience entre 2 ans et 5 ans,Indépendant-Freelance,Sidi Bouzid,"Python, Machine Learning, Communication, Leadership",2025-12-18,https://fakejobsite.com/job/247,In 3 months,English,1515,Remote
Accountant,Hodges-Smith,Autres,Entre 2 et 5 ans,Temps partiel,Bizerte,"Machine Learning, SQL, Java, Leadership, Data Analysis",2026-04-20,https://fakejobsite.com/job/248,In 1 month,English,984,Hybrid
Nurse,Carter Group,Autres,Expérience entre 2 ans et 5 ans et plus,CDD,Zaghouan,"Project Management, Machine Learning, Data Analysis",2024-07-22,https://fakejobsite.com/job/249,Immediate,"French, English, Arabic",1292,Hybrid
Project Manager,Turner-Higgins,Qualification avant bac,Entre 2 et 5 ans,Saisonnier,Abidjan,"Java, Communication, SQL",2026-02-10,https://fakejobsite.com/job/250,In 3 months,"Arabic, English, French",943,Hybrid
Project Manager,"Reese, Scott and Smith",Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",SIVP,Tozeur,"Machine Learning, SQL",2024-02-20,https://fakejobsite.com/job/251,In 1 month,French,357,On-site
Software Engineer,Galloway-Hawkins,Bac+3,Entre 5 et 10 ans,CDI,Sfax,"Python, Machine Learning, Data Analysis, Java, Leadership",2024-06-18,https://fakejobsite.com/job/252,Immediate,French,1245,Remote
Data Scientist,"Lopez, Cook and Flynn",Bac+5,Expérience entre 2 ans et 5 ans,SIVP,Médenine,"Communication, Leadership, Project Management, Java",2024-11-06,https://fakejobsite.com/job/253,In 3 months,"French, English",1499,Remote
Nurse,Snyder and Sons,Bac+3,Débutant < 2 ans et plus,Saisonnier,Nabeul,"Data Analysis, SQL, Machine Learning",2025-07-30,https://fakejobsite.com/job/254,Immediate,"English, Arabic, French",1315,Remote
Teacher,"Barrera, Hart and Harris",Bac+2,Entre 5 et 10 ans,CDI,Ben Arous,"Machine Learning, SQL, Java, Data Analysis",2025-08-15,https://fakejobsite.com/job/255,Immediate,English,1599,Hybrid
Software Engineer,Smith and Sons,Bac+3,Moins d'un an,CDI,Gabes,"Machine Learning, Communication, Data Analysis, Python, Project Management",2026-07-07,https://fakejobsite.com/job/256,Immediate,French,1767,Hybrid
Nurse,Perkins LLC,Autres,Entre 1 et 2 ans,CDD,Abidjan,"Data Analysis, SQL",2024-10-07,https://fakejobsite.com/job/257,In 1 month,Arabic,1058,On-site
Nurse,"Delgado, Logan and Chaney",Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,SIVP,Médenine,"SQL, Leadership, Machine Learning",2025-05-26,https://fakejobsite.com/job/258,In 3 months,French,1161,Remote
Software Engineer,Thompson and Sons,Bac+3,Expérience entre 2 ans et 5 ans et plus,Stage,Bizerte,"Java, SQL, Project Management, Python",2025-09-28,https://fakejobsite.com/job/259,In 3 months,English,1439,Hybrid
Project Manager,Singh-Cole,Bac+1,Expérience > 10 ans,Alternance,International,"Java, Project Management, Data Analysis, Communication",2025-10-31,https://fakejobsite.com/job/260,In 1 month,"French, English",1511,Remote
Nurse,Nicholson Group,Bac+4,Entre 5 et 10 ans,SIVP,Abidjan,"Communication, Python, Leadership, Java, Project Management",2025-01-28,https://fakejobsite.com/job/261,In 3 months,"French, Arabic, English",1317,On-site
Project Manager,Wright-Roman,Autres,Débutant < 2 ans,Stage-PFE,Sfax,"Communication, Machine Learning",2026-08-09,https://fakejobsite.com/job/262,Immediate,French,747,On-site
Software Engineer,Brennan-Rodriguez,Bac+2,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage-PFE,Sidi Bouzid,"Java, Communication, Project Management",2026-09-22,https://fakejobsite.com/job/263,In 3 months,"French, English",1162,On-site
Project Manager,Cooper-Jackson,Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,CDI,Médenine,"SQL, Python, Java, Leadership",2026-01-21,https://fakejobsite.com/job/264,In 1 month,"English, Arabic",986,Remote
Accountant,Brown-Wallace,Qualification avant bac,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Alternance,Gafsa,"Machine Learning, Project Management",2025-03-06,https://fakejobsite.com/job/265,Immediate,"English, French",1396,Hybrid
Teacher,Fuller and Sons,Bac+5,Entre 2 et 5 ans,Fonction publique,Gabes,"Java, Leadership",2024-04-12,https://fakejobsite.com/job/266,In 1 month,"French, Arabic",1238,Hybrid
Marketing Manager,Garcia Ltd,Bac+5,Expérience > 10 ans,Saisonnier,Sidi Bouzid,"SQL, Project Management, Data Analysis",2024-01-06,https://fakejobsite.com/job/267,Immediate,English,2467,On-site
Nurse,Stevens LLC,Bac+5,Entre 2 et 5 ans,Indépendant-Freelance,Ariana,"Data Analysis, Project Management, Communication, Python, SQL",2025-11-06,https://fakejobsite.com/job/268,Immediate,"French, English",1018,Hybrid
Data Scientist,Schmidt PLC,Bac+3,Expérience > 10 ans,Alternance,Médenine,"Machine Learning, Python, Communication, Data Analysis, Java",2024-06-28,https://fakejobsite.com/job/269,In 3 months,French,2137,On-site
Teacher,Jennings and Sons,Bac+3,Expérience > 10 ans,Indépendant-Freelance,Sidi Bouzid,"Leadership, Java, Data Analysis, Python, Communication",2025-07-20,https://fakejobsite.com/job/270,Immediate,"English, French",1416,Remote
Marketing Manager,"Gaines, Floyd and Sanchez",Bac+5,"Etudiant, jeune diplômé et plus",Unspecified,Gabes,"Python, Project Management, Data Analysis, Java",2025-08-25,https://fakejobsite.com/job/271,In 1 month,Arabic,1514,On-site
Project Manager,Gregory Ltd,Bac+5,Débutant < 2 ans et plus,SIVP,International,"Leadership, Python",2026-07-06,https://fakejobsite.com/job/272,In 3 months,English,1762,Remote
Nurse,"Flores, Lloyd and Adams",Qualification avant bac,Moins d'un an,SIVP,Tunis,"Python, Leadership, Data Analysis",2024-02-12,https://fakejobsite.com/job/273,In 1 month,"French, Arabic",1260,On-site
Project Manager,"Bender, Johnson and Boone",Formations professionnelles,"Etudiant, jeune diplômé et plus",Indépendant-Freelance,Tataouine,"Data Analysis, SQL, Machine Learning",2025-03-18,https://fakejobsite.com/job/274,Immediate,English,758,Hybrid
Accountant,Thompson Inc,Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Temps partiel,Sousse,"Java, SQL, Machine Learning",2025-04-03,https://fakejobsite.com/job/275,In 1 month,"French, Arabic, English",1346,Hybrid
Software Engineer,Howard PLC,Bac+3,Entre 1 et 2 ans,Saisonnier,Gafsa,"Project Management, SQL, Java",2026-05-08,https://fakejobsite.com/job/276,In 1 month,"Arabic, English",978,On-site
Nurse,Flores PLC,Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Alternance,Nabeul,"Data Analysis, SQL, Machine Learning, Python",2025-02-09,https://fakejobsite.com/job/277,Immediate,"French, Arabic",1298,Hybrid
Marketing Manager,Myers-Nguyen,Bac+4,"Etudiant, jeune diplômé & Débutant < 2 ans",Fonction publique,Abidjan,"Data Analysis, Java, Machine Learning, Leadership",2025-11-23,https://fakejobsite.com/job/278,In 3 months,"Arabic, French, English",1283,Hybrid
Marketing Manager,Trujillo-Davidson,Bac+5,Débutant < 2 ans et plus,CDI,Tunis,"Java, Communication, Python",2024-10-06,https://fakejobsite.com/job/279,In 1 month,"Arabic, English",2246,Hybrid
Accountant,Hood LLC,Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDD,Nabeul,"Python, Data Analysis, Java",2024-06-17,https://fakejobsite.com/job/280,Immediate,English,1438,Remote
Accountant,Anderson Ltd,Formations professionnelles,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,SIVP,Nabeul,"Python, Java, Data Analysis, Leadership",2025-03-05,https://fakejobsite.com/job/281,In 3 months,Arabic,1105,Hybrid
Nurse,"Smith, Conley and Holmes",Bac+3,Entre 2 et 5 ans,Stage-PFE,Tozeur,"SQL, Machine Learning, Python",2024-02-03,https://fakejobsite.com/job/282,In 3 months,French,1412,Remote
Project Manager,Lee-Matthews,Bac+3,Aucune expérience,Saisonnier,Le Kef,"Leadership, Project Management",2025-11-13,https://fakejobsite.com/job/283,In 3 months,Arabic,979,On-site
Data Scientist,Sanchez LLC,Bac+1,Entre 2 et 5 ans,CDD,Bizerte,"Java, Project Management, Machine Learning, Leadership",2025-02-19,https://fakejobsite.com/job/284,In 1 month,"English, French",1321,Hybrid
Marketing Manager,Doyle-Shepard,Bac+4,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Fonction publique,Siliana,"Machine Learning, Project Management",2025-07-27,https://fakejobsite.com/job/285,In 1 month,English,1506,Hybrid
Marketing Manager,Moore-Stevenson,Bac,Plus que 10 ans,Intérim,Monastir,"Python, Project Management",2025-12-03,https://fakejobsite.com/job/286,In 1 month,"French, English, Arabic",1068,Hybrid
Accountant,Gibson-White,Bac+3,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Statutaire,Tozeur,"SQL, Communication, Python, Project Management, Machine Learning",2026-07-31,https://fakejobsite.com/job/287,In 3 months,French,330,On-site
Teacher,Nolan LLC,Bac+3,"Etudiant, jeune diplômé - Débutant < 2 ans",CDI,Abidjan,"Java, Data Analysis",2024-04-28,https://fakejobsite.com/job/288,In 1 month,"Arabic, English, French",985,Remote
Accountant,Peters and Sons,Bac+3,"Etudiant, jeune diplômé et plus",SIVP,Ariana,"Java, Leadership, Data Analysis",2026-01-15,https://fakejobsite.com/job/289,Immediate,"French, Arabic",1542,Remote
Data Scientist,"Moore, Morrison and Watts",Bac+4,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDI,Sousse,"SQL, Machine Learning, Leadership, Data Analysis",2024-10-26,https://fakejobsite.com/job/290,In 1 month,English,1200,Hybrid
Project Manager,"Wood, Perry and Martin",Bac,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Temps partiel,Gafsa,"SQL, Python, Communication, Leadership, Java",2026-02-05,https://fakejobsite.com/job/291,In 1 month,Arabic,1065,On-site
Project Manager,Miller-Wilson,Bac,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Unspecified,International,"Leadership, Java, Project Management, Data Analysis, Communication",2026-03-26,https://fakejobsite.com/job/292,In 3 months,"English, French, Arabic",1461,On-site
Teacher,"Lewis, Mason and Estes",Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Unspecified,TRIPOLI,"SQL, Communication, Python, Data Analysis, Project Management",2025-12-11,https://fakejobsite.com/job/293,In 1 month,"Arabic, French",1397,On-site
Marketing Manager,Brown-Baker,Bac+3,"Etudiant, jeune diplômé & Débutant < 2 ans",CDD,DAKAR,"Machine Learning, Data Analysis, Java, Project Management",2026-05-14,https://fakejobsite.com/job/294,Immediate,"Arabic, French, English",634,On-site
Accountant,"Martinez, Martin and Mason",Bac+2,"Etudiant, jeune diplômé et plus",Unspecified,Sousse,"Java, SQL",2025-12-27,https://fakejobsite.com/job/295,In 3 months,"French, English",723,On-site
Project Manager,Ewing Inc,Bac+3,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Unspecified,Gabes,"Java, Project Management",2026-09-23,https://fakejobsite.com/job/296,Immediate,"Arabic, English, French",1325,Remote
Data Scientist,"Brock, Hicks and Graham",Bac+5,Plus que 10 ans,CDI,Bizerte,"Communication, SQL",2024-02-24,https://fakejobsite.com/job/297,In 3 months,"French, Arabic, English",1478,Remote
Nurse,Williams Inc,Bac+3,Expérience entre 2 ans et 5 ans et plus,Statutaire,Tunis,"Python, Machine Learning, SQL",2026-02-23,https://fakejobsite.com/job/298,In 3 months,"Arabic, French",1932,Remote
Software Engineer,"Day, Nelson and Scott",Bac+4,Entre 2 et 5 ans,Intérim,Gabes,"Java, Project Management, Data Analysis, SQL",2024-02-05,https://fakejobsite.com/job/299,In 1 month,"French, English",1008,Hybrid
Software Engineer,Daniels-Houston,Bac+1,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,CDD,Kairouan,"Machine Learning, Leadership",2025-05-11,https://fakejobsite.com/job/300,Immediate,"English, Arabic, French",1022,On-site
Software Engineer,"Lloyd, Gill and Jones",Bac,Entre 5 et 10 ans,SIVP,Monastir,"Communication, Python, Machine Learning, Leadership",2024-10-08,https://fakejobsite.com/job/301,In 3 months,Arabic,922,Hybrid
Marketing Manager,Cortez-Moore,Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Alternance,Tataouine,"Data Analysis, Communication, Project Management",2025-06-19,https://fakejobsite.com/job/302,In 1 month,Arabic,960,On-site
Accountant,Pena-Miranda,Bac+3,Expérience entre 5 ans et 10 ans,Stage-PFE,Tozeur,"Java, Data Analysis, Machine Learning",2024-02-13,https://fakejobsite.com/job/303,In 3 months,"English, Arabic",1034,Remote
Teacher,Walter Group,Bac+4,Expérience entre 2 ans et 5 ans,CDD,TRIPOLI,"Java, SQL, Data Analysis, Machine Learning",2025-11-18,https://fakejobsite.com/job/304,In 3 months,"Arabic, French",1324,Hybrid
Project Manager,Cameron and Sons,Bac+5,"Etudiant, jeune diplômé & Débutant < 2 ans",Stage,Gafsa,"SQL, Leadership, Machine Learning",2024-10-05,https://fakejobsite.com/job/305,In 3 months,Arabic,1413,Remote
Nurse,Thompson-Jones,Autres,Entre 5 et 10 ans,Temps partiel,Tataouine,"Machine Learning, Python",2026-08-25,https://fakejobsite.com/job/306,In 3 months,English,959,On-site
Data Scientist,Garcia-Garrett,Bac+3,Aucune expérience,Intérim,Gafsa,"Machine Learning, Communication, Data Analysis",2026-05-07,https://fakejobsite.com/job/307,In 3 months,"English, Arabic",1440,On-site
Nurse,Wilkins Inc,Bac+3,Plus que 10 ans,Temps partiel,Tataouine,"Communication, Python, Java, Leadership",2024-07-29,https://fakejobsite.com/job/308,In 3 months,"French, English",1542,On-site
Data Scientist,"Huber, Walker and Evans",Bac+5,"Etudiant, jeune diplômé",CDD,Bizerte,"Java, Leadership, Communication, Python, Machine Learning",2026-09-14,https://fakejobsite.com/job/309,In 1 month,"French, Arabic, English",1245,Remote
Marketing Manager,"Lewis, Doyle and Gardner",Bac+3,Plus que 10 ans,CDD,Gabes,"SQL, Project Management, Leadership",2026-02-07,https://fakejobsite.com/job/310,In 3 months,"French, English, Arabic",647,On-site
Accountant,Robinson-Marks,Bac+3,Plus que 10 ans,Stage,Gafsa,"Data Analysis, Leadership, SQL, Communication",2024-08-26,https://fakejobsite.com/job/311,Immediate,"Arabic, English, French",1182,Remote
Software Engineer,Smith-Walker,Bac+1,"Etudiant, jeune diplômé & Débutant < 2 ans",Unspecified,Monastir,"Python, Java",2024-05-08,https://fakejobsite.com/job/312,In 1 month,"Arabic, English, French",1194,Hybrid
Accountant,Johnson LLC,Bac,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,SIVP,Siliana,"Python, Communication, Leadership",2024-10-14,https://fakejobsite.com/job/313,Immediate,"English, Arabic, French",929,On-site
Marketing Manager,Fuller-Patterson,Autres,Débutant < 2 ans & Expérience entre 2 ans et 5 ans,Temps partiel,Monastir,"Leadership, Communication, Project Management, SQL",2024-05-29,https://fakejobsite.com/job/314,In 3 months,"English, French, Arabic",897,On-site
Teacher,"Henry, Boyer and Cooper",Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,CDD,Ariana,"SQL, Data Analysis, Java, Machine Learning, Python",2024-05-19,https://fakejobsite.com/job/315,Immediate,"Arabic, French, English",1944,On-site
Teacher,Spence-Mayer,Bac+5,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage-PFE,Le Kef,"SQL, Python, Data Analysis, Machine Learning",2026-01-03,https://fakejobsite.com/job/316,In 3 months,French,1346,Hybrid
Marketing Manager,Allen-Robinson,Bac+3,Débutant < 2 ans,CDI,Tunis,"Machine Learning, Python, Java, Project Management, SQL",2026-04-05,https://fakejobsite.com/job/317,In 3 months,French,1336,On-site
Data Scientist,Daniels-Rodgers,Bac+2,Aucune expérience,SIVP,Siliana,"Project Management, Data Analysis",2025-12-17,https://fakejobsite.com/job/318,In 1 month,English,693,Remote
Project Manager,"Wang, Perez and Miller",Bac+2,Moins d'un an,Stage-PFE,Tozeur,"Data Analysis, SQL, Leadership",2024-01-02,https://fakejobsite.com/job/319,In 1 month,French,1085,Remote
Project Manager,Peterson Ltd,Bac+3,Entre 2 et 5 ans,SIVP,Zaghouan,"Communication, Python, SQL, Project Management",2026-05-20,https://fakejobsite.com/job/320,In 3 months,Arabic,1117,On-site
Data Scientist,Johnston-Smith,Bac+3,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Stage-PFE,Nabeul,"Data Analysis, Java, Project Management, Machine Learning, SQL",2024-04-05,https://fakejobsite.com/job/321,In 1 month,"English, Arabic, French",1024,On-site
Teacher,Palmer-Davis,Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Statutaire,DAKAR,"Java, Project Management, Communication, Python",2026-09-15,https://fakejobsite.com/job/322,Immediate,English,1805,Hybrid
Teacher,"Rodriguez, Chaney and Francis",Bac+4,Expérience > 10 ans,Intérim,Gafsa,"Python, Project Management, Leadership, Data Analysis, SQL",2026-01-02,https://fakejobsite.com/job/323,In 1 month,Arabic,1242,Hybrid
Teacher,Morris-Mahoney,Bac+3,Débutant < 2 ans et plus,Unspecified,Sousse,"SQL, Data Analysis, Python, Project Management, Communication",2025-10-18,https://fakejobsite.com/job/324,In 1 month,"French, Arabic, English",1292,Hybrid
Accountant,Fowler LLC,Autres,Aucune expérience,Stage-PFE,Ariana,"Data Analysis, SQL, Machine Learning, Project Management",2024-10-28,https://fakejobsite.com/job/325,Immediate,"English, French, Arabic",808,On-site
Teacher,Zimmerman Ltd,Bac+5,Entre 1 et 2 ans,Indépendant-Freelance,Sidi Bouzid,"Java, Project Management, Python, Leadership",2025-04-04,https://fakejobsite.com/job/326,In 1 month,"French, English, Arabic",1564,Hybrid
Nurse,Bauer-Shepherd,Bac+3,Expérience entre 2 ans et 5 ans et plus,Stage-PFE,Zaghouan,"SQL, Machine Learning, Python, Project Management, Data Analysis",2024-04-17,https://fakejobsite.com/job/327,In 3 months,"Arabic, French",1116,Hybrid
Software Engineer,"Herrera, Gibbs and Freeman",Bac+4,Entre 2 et 5 ans,Alternance,Sidi Bouzid,"Project Management, Data Analysis, Java, Python",2025-03-27,https://fakejobsite.com/job/328,Immediate,"English, French, Arabic",1448,Remote
Teacher,"Carroll, Walter and Francis",Bac+3,Expérience entre 2 ans et 5 ans,Alternance,Bizerte,"Project Management, SQL",2024-06-29,https://fakejobsite.com/job/329,In 3 months,"French, Arabic",1198,Hybrid
Data Scientist,"Wood, White and Smith",Bac+3,Expérience entre 2 ans et 5 ans,Saisonnier,Monastir,"Communication, Leadership, SQL, Java",2024-01-23,https://fakejobsite.com/job/330,Immediate,"French, Arabic, English",1833,Remote
Software Engineer,"Harris, Horne and Ali",Bac+3,Expérience entre 5 ans et 10 ans,Indépendant-Freelance,Tataouine,"Java, Leadership, Data Analysis",2024-07-05,https://fakejobsite.com/job/331,In 3 months,"English, French, Arabic",1622,Remote
Accountant,Black PLC,Bac+5,Expérience > 10 ans,Unspecified,Siliana,"Data Analysis, Machine Learning, Java",2024-12-24,https://fakejobsite.com/job/332,In 3 months,"Arabic, French, English",1497,Hybrid
Data Scientist,"Wheeler, Pittman and Newman",Bac,Expérience > 10 ans,Indépendant-Freelance,Kairouan,"Data Analysis, SQL",2026-04-06,https://fakejobsite.com/job/333,In 1 month,"Arabic, English, French",2000,Remote
Software Engineer,Hernandez-Diaz,Bac+2,Entre 1 et 2 ans,CDI,Tataouine,"Leadership, SQL, Machine Learning, Communication, Project Management",2025-10-01,https://fakejobsite.com/job/334,In 3 months,"Arabic, English, French",945,On-site
Data Scientist,Gonzalez Ltd,Bac,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Indépendant-Freelance,Le Kef,"Communication, Java, Project Management, Python",2025-10-28,https://fakejobsite.com/job/335,In 1 month,"Arabic, English, French",706,On-site
Accountant,Swanson-Cole,Bac,Expérience entre 2 ans et 5 ans,CDI,Sousse,"Leadership, Communication, Data Analysis, SQL, Python",2026-07-24,https://fakejobsite.com/job/336,Immediate,French,1490,Hybrid
Nurse,"Holland, Horn and Bailey",Qualification avant bac,"Etudiant, jeune diplômé - Débutant < 2 ans",Saisonnier,Sidi Bouzid,"Java, Data Analysis, Project Management, Communication",2025-12-13,https://fakejobsite.com/job/337,In 3 months,"English, Arabic, French",1351,On-site
Accountant,"Armstrong, Medina and Dunlap",Bac+5,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Saisonnier,Zaghouan,"Python, Data Analysis",2025-12-20,https://fakejobsite.com/job/338,In 3 months,"Arabic, English, French",1846,Remote
Accountant,Smith-Vance,Bac+3,Débutant < 2 ans et plus,Intérim,International,"Java, Communication, Python, Machine Learning",2024-01-26,https://fakejobsite.com/job/339,Immediate,"Arabic, English",1105,On-site
Data Scientist,"Oliver, Alexander and Morgan",Bac+1,Expérience entre 2 ans et 5 ans & Expérience entre 5 ans et 10 ans,Alternance,Bizerte,"Leadership, Machine Learning, SQL, Python, Project Management",2025-12-07,https://fakejobsite.com/job/340,Immediate,"English, Arabic",1193,Hybrid
Marketing Manager,Morgan-Benitez,Bac+3,Moins d'un an,Stage-PFE,Tataouine,"Communication, Machine Learning, Project Management",2024-02-23,https://fakejobsite.com/job/341,In 3 months,"English, French, Arabic",1101,Hybrid
Project Manager,Montoya-Quinn,Bac+3,Débutant < 2 ans et plus,Stage-PFE,Gafsa,"Python, Project Management, Leadership",2024-03-01,https://fakejobsite.com/job/342,Immediate,"Arabic, English",1619,Remote
Teacher,Conner and Sons,Bac+2,"Etudiant, jeune diplômé & Débutant < 2 ans",Stage,Gafsa,"Java, Machine Learning, Communication, Leadership",2025-04-20,https://fakejobsite.com/job/343,In 1 month,"English, Arabic",897,Hybrid
Teacher,"Williams, Chavez and Harris",Bac+3,Expérience entre 5 ans et 10 ans & Expérience > 10 ans,Stage,TRIPOLI,"Project Management, Communication",2024-10-03,https://fakejobsite.com/job/344,Immediate,"French, Arabic",1082,On-site
Nurse,"Wells, Gates and Brady",Bac+3,Aucune expérience,Fonction publique,International,"Leadership, Machine Learning, SQL, Communication, Java",2024-08-06,https://fakejobsite.com/job/345,Immediate,"Arabic, French",784,Hybrid
Nurse,Saunders Inc,Bac+4,Entre 2 et 5 ans,SIVP,Le Kef,"Communication, Data Analysis, Project Management, Leadership",2025-05-27,https://fakejobsite.com/job/346,In 3 months,"French, English, Arabic",811,Remote
